L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,S11,S8,T1,T2,T3,T6,S9,S10,T4,H1,T7,T8,T9,T10,V1,V2,V3,V4,V5,V6,V7,V8,H6,S2,S1,S3,S4,S5,S7,S6,T11,H7,H8,C1,C2,H2,H3,H4,H5,T5,H9,H10,H11,H12
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,943.0734541,287.9445478,633.1055908,3.879040943,-0.000268705,-2.85e-07,2.831436608,0.455,1.188155218,16.67544556,-0.000535998,10.57460022,1.34,68.87,0.18,24.88,1.19,1.64,1.9,0.0,6179.816872,0.000132,7548.302224,0.6142,0.6375,124.791,0.834402,0.52243,0.002937878,0.0,0.0,703.1904756,66.0,8.694592539,28.52707863,3.977521181,1.077355007,3.235646446,195.6658743,1.76e-06,14591.15909,283.4971152
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,924.1993841,751.763822,1790.568832,23.74761753,-0.000390013,-1.15e-05,16.35954097,0.42,7.192878026,58.06583405,-0.003045404,15.94278717,59.73,21.01,9.37,0.0,8.39,0.0,1.5,0.0,8833.10384,7.2e-05,13819.59911,0.0613,0.07049,136.964,0.485568,0.25631,0.001918476,0.000630957,0.000630957,912.2955505,3.0,7.123628434,27.8788166,2.825853109,0.243327629,22.93654619,78.06619259,1.73e-06,12454.68414,289.0416744
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,419.587262,318.9894837,691.3399658,7.896609411,-0.002821197,-6.9e-07,5.696232692,0.461,2.415654055,54.33014297,-0.001629205,19.28861618,64.48,21.12,1.28,1.63,0.02,0.52,10.95,0.0,10605.63575,0.000112,8909.441211,0.6936,0.34769,157.458,0.789898,0.33212,0.003260717,0.0,0.0,1889.187845,8.0,7.91227231,28.81112671,3.069298744,2.299066519,20.17672082,34.26423807,1.79e-06,40087.84291,279.1699756
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,257.6985443,42.79299616,95.69000244,0.783353689,-0.001291129,3.19e-07,0.564890083,0.447,0.2410005,3.89125061,-2.52e-05,1.391105652,27.67,3.94,50.15,1.74,0.12,0.92,15.46,0.0,3033.023199,9.5e-05,10525.31035,0.2047,0.01795,33.5985,0.470843,0.18173,0.00147604,0.09006789,0.182084587,688.7303123,6.0,9.814916521,29.31752968,5.223005772,0.365525306,2.924428086,32.72092855,1.84e-06,11218.53321,271.5493355
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,97.90136526,68.83949214,76.67060309,338.3866529,2.147733865,-0.024657982,4.11e-07,1.574833078,0.227,0.656017768,25.51083386,0.000382285,11.87124681,33.64,36.98,5.12,0.0,0.18,0.1,23.98,0.0,11633.89179,0.000117,8489.973635,0.7259,0.63701,23.9681,0.820969,0.38071,0.003583863,30.00004627,30.00004627,251.0,16.0,9.494923316,35.01682663,3.461281061,0.338012065,2.849113517,118.7691017,1.73e-06,48105.42083,289.1324131
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,403.8918736,225.7574284,448.1033478,6.605301984,-0.003281615,-1.68e-06,4.761829279,0.504,2.012336066,27.59207535,-0.001461779,9.471515656,82.59,4.51,0.47,0.0,0.01,0.49,11.93,0.0,9420.885176,0.000121,8209.118072,0.0828,0.00101,129.018,0.550045,0.297,0.003335375,0.152786103,0.862247259,1821.492395,7.0,7.844311756,26.21805382,3.233479023,0.520630849,11.86823975,37.75651296,1.84e-06,36922.18444,271.9697864
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,846.0759706,562.5781984,1974.000031,20.36835003,-0.000463627,-4.7e-06,14.52797312,0.285,6.181075128,95.19819641,-0.00260741,18.72538757,57.87,29.41,6.7,0.0,4.32,0.19,1.51,0.0,12121.45148,6.9e-05,14356.75115,0.0563,0.07451,47.9319,0.479224,0.30086,0.002163298,0.0,0.0,718.0090938,4.0,7.26156792,27.73812103,2.950454235,0.813439045,16.30682901,121.05358,1.66e-06,13441.25903,301.3472113
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1140.926786,292.6656779,1882.726685,10.93096998,-0.001045463,-5.24e-06,7.74066223,0.155,3.308745942,59.61709595,-0.003720264,13.9072876,54.27,27.33,0.13,0.09,8.26,0.02,9.19,0.72,5052.248757,0.000147,6777.437231,0.62,0.49655,125.594,0.747874,0.33374,0.002958504,0.0,0.0,2604.674078,4.0,8.304572896,31.22740555,2.63945365,0.216283641,28.16080839,66.85627268,1.75e-06,14459.70775,285.4625912
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,572.2011036,53.96666752,230.7555542,0.686846703,-0.000914062,2.56e-07,0.499223523,0.234,0.210042702,5.406944275,-9.47e-05,2.861351013,3.56,3.76,3.16,73.16,0.0,3.24,13.11,0.0,8601.837061,6.9e-05,14367.34949,0.0126,0.05018,141.745,0.56356,0.21974,0.001821018,0.0,0.0,901.8093259,18.0,9.90183257,24.12740326,4.200101852,1.512925025,27.69320566,8.33256926,1.66e-06,29708.72696,300.7980603
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,252.9809226,10.19648353,47.85557556,0.470427508,-0.002319706,7.49e-07,0.34058357,0.213,0.146596363,3.661249161,-3.88e-05,2.261669159,16.85,5.43,26.3,4.25,0.0,0.9,46.27,0.0,10692.2454,8.6e-05,11570.20433,0.623,0.38188,153.864,0.779308,0.38723,0.002521092,0.0,0.0,647.7253768,5.0,9.930717193,26.8533802,4.538298607,2.603730247,1.288845954,37.13056275,1.82e-06,35839.8323,275.3169673
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,511.9688888,109.795549,379.9266357,0.940339166,-0.000456392,-1.21e-08,0.680374843,0.289,0.288341755,8.490833282,-0.000264194,5.259971619,2.19,5.34,0.29,84.9,0.0,3.78,3.5,0.0,13007.19667,9.1e-05,10872.9393,0.6323,0.5499,151.5,0.789517,0.39282,0.002958967,0.0,0.0,973.6706206,15.0,9.860034022,26.24897003,4.246905327,0.207817912,4.697163157,80.88427484,1.76e-06,46971.1286,284.1869634
