L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,S11,S8,T1,T2,T3,T6,S9,S10,T4,H1,T7,T8,T9,T10,V1,V2,V3,V4,V5,V6,V7,V8,H6,S2,S1,S3,S4,S5,S7,S6,T11,H7,H8,C1,C2,H2,H3,H4,H5,T5,H9,H10,H11,H12
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5233245690530721,0.23201021087891338,0.1780109224027632,0.08503034763744906,0.9788087130261318,0.8155978150920493,0.09591675581421995,0.4388947927736451,0.08527308670325287,0.061908766623428,0.33259554028885485,0.061551446012914235,0.013461924854329918,0.7781765769839477,0.002166586422725085,0.27126035761011774,0.012674406220044732,0.02665799739921976,0.019000000000000017,0.0,0.2272213371937196,0.023420346425957552,0.2706903507789914,0.7455009727626458,0.830223267051097,0.7118646373321295,0.8023263032461347,0.6320915657402815,0.2329163893312065,0.0,0.0,0.12758457889727184,0.32352941176470595,0.5123627800027578,0.41172717946693316,0.6457391669486913,0.04371712639408225,0.026230492350832135,0.4992455900522978,0.86046511627907,0.16548493957541602,0.08057438385648752
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5124816828952478,0.631789685218299,0.5448873657932104,0.5853183850827779,0.9770264594603207,0.5887113089217074,0.6209673111482938,0.40170031880977686,0.5810207247543441,0.21560806446979713,0.30318656723580795,0.09280332211244738,0.6000602772754671,0.23714108071444726,0.11278285989407798,0.0,0.08935988923208009,0.0,0.015000000000000013,0.0,0.3337753242980414,0.008782629909734083,0.5030284526205906,0.07320038910505837,0.09173908654894976,0.7907143500258774,0.2741476605995636,0.3101111904272181,0.09799509789583287,6.311043250409704e-06,6.311043250409704e-06,0.17848751360099907,0.01470588235294118,0.1204334322547376,0.38227134460888534,0.3135179068197945,0.005087450106044382,0.18718568820564857,0.19857377181108177,0.8255813953488373,0.13815625497954154,0.1054356575695433
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22258915871850785,0.25876875422838663,0.19646923677732217,0.18619217145290348,0.9413075756839602,0.8074044102771596,0.20710474894119665,0.44527098831030826,0.18661492522117362,0.20173592852437913,0.3197837054544748,0.11228167386223949,0.6477797870202934,0.2383845806014018,0.015406836783822823,0.017771478412559962,0.0002130152305889867,0.008452535760728217,0.10950000000000001,0.0,0.40495885798965187,0.018541107587216395,0.32111763150431616,0.8420476653696497,0.4527694296384812,0.9234627285640907,0.7349416380118314,0.4018342185817474,0.27564521937637476,0.0,0.0,0.41629467683359156,0.03921568627450981,0.3171869283673368,0.42463380201927603,0.3837445785483301,0.10030318276443953,0.16463807673989678,0.08658355962220349,0.8953488372093026,0.49162535622645887,0.06117190331480563
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1295863810315929,0.0207068780944649,0.007668476386343332,0.007081366538243592,0.9637872897088667,0.82781711511228,0.007947925903018132,0.43039319872476095,0.0070763523441125355,0.014435866294869176,0.33858183529952685,0.008088063110448122,0.27797870202933495,0.04417250734795388,0.6036350505536833,0.01897078063672045,0.0012780913835339224,0.014954486345903769,0.15460000000000002,0.0,0.1008484960737298,0.014393754574286412,0.38098211813351435,0.247568093385214,0.023310030899873338,0.1211719219107372,0.2518521546770596,0.2198763475336052,0.03943720170031731,0.0009008892036432651,0.0018212710276452888,0.1240645077147951,0.02941176470588236,0.7918649316650485,0.4476438219890483,1.0,0.010747284339519877,0.023687856596205203,0.08263771833471026,0.9534883720930232,0.12234405045129894,0.027001681199621163
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07728337236533958,0.9771166976817773,0.021089527812043617,0.049906983919544755,0.0845950523450126,0.04143627251711307,0.6204821731375566,0.8296783329961561,0.04714566685702954,0.19659936238044634,0.04134002061657756,0.0947181464686575,0.3433573540416199,0.06910010982678572,0.3379545911191481,0.41767465521139496,0.06162734713529129,0.0,0.0019171370753008835,0.0016254876462938879,0.2398,0.0,0.44625283868134047,0.019760917296901683,0.30557725729407875,0.8813229571984434,0.8295850821011913,0.05879171381693368,0.7819870481658633,0.46062358592152547,0.31841468190653976,0.3000705111826357,0.3000705111826357,0.017506799751443147,0.07843137254901962,0.7120319630311478,0.7066093976316264,0.49681957165449014,0.009472952559173013,0.02307254098312983,0.30264053042689176,0.8255813953488373,0.5941820738694752,0.10584252123096252
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21357238016337704,0.17840930361326915,0.11937150949084392,0.1536772272864904,0.9345431279784207,0.787376087396318,0.1708388377851733,0.49096705632306065,0.15331714498660828,0.10244664014392262,0.3217458537566545,0.05512963871698249,0.8297166968053045,0.05061609767126385,0.005657197881559942,0.0,0.00010650761529449357,0.007964889466840052,0.11930000000000002,0.0,0.3573801758092652,0.020736765064649915,0.2951721609343856,0.09934338521400778,0.0012470654888464155,0.7392447191161163,0.3717739652084118,0.35934229470907797,0.2855264573727511,0.0015282177772725429,0.008624485890633147,0.399815415999117,0.03431372549019608,0.3002319034135273,0.3068093370838222,0.4311056025306758,0.017931313394942968,0.09675827351998731,0.09551239876280428,0.9534883720930232,0.45113188736323223,0.02888694286438984
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46760088724061993,0.4687250318879074,0.6030288112409256,0.5002288922258036,0.9759449247388382,0.7262795872951648,0.5498808018310074,0.25823591923485656,0.4974866611688482,0.3534955845032905,0.308319636074966,0.10900273613160916,0.581374321880651,0.3320992539000679,0.08064516129032259,0.0,0.0460112898072212,0.003088426527958387,0.01510000000000001,0.0,0.465832865096654,0.008050744083922909,0.5229287838666759,0.06712062256809338,0.09697480797470705,0.21401546679897893,0.2645420450089106,0.3640125346335798,0.13039811497034426,0.0,0.0,0.13119190958972296,0.019607843137254905,0.1548470338161032,0.3758783965672129,0.34946154726587564,0.031493321219060635,0.1330212875419719,0.3084813476315458,0.7441860465116279,0.150776011648825,0.16061250933027663
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6369885087193945,0.23607949177053064,0.5740982678207225,0.26259695502254093,0.967396607350725,0.7153550475419785,0.28645281098627595,0.12008501594048886,0.2603482527534579,0.22136852900043158,0.2952775483067948,0.08095329137492005,0.5452079566003617,0.3085858014921999,0.001564756860857006,0.0009812472743131269,0.08797529023325167,0.0003250975292587773,0.09190000000000001,0.007383100902379,0.18193905908585287,0.027079775555013418,0.24213145578398929,0.7525535019455253,0.646647412583314,0.7170660108056429,0.6713120053539499,0.4037942674619787,0.23564630996815442,0.0,0.0,0.5904671545567268,0.019607843137254905,0.41505938280648275,0.5344250703464303,0.2597473242518647,0.003834852733902022,0.229867604083831,0.16991292041532924,0.8488372093023258,0.1638034818964645,0.08938739045445887
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3102636513201059,0.030337794080969736,0.05047965819364093,0.004651333847462196,0.9693271469754912,0.8265425854744083,0.005399286206555812,0.20403825717322,0.004520488280359936,0.02006425154467116,0.33776733034210393,0.016647363724575464,0.03576451677717501,0.04213768935111915,0.03803562831006259,0.7976450065416484,0.0,0.05266579973992197,0.1311,0.0,0.32448782630614537,0.008050744083922909,0.523321429637245,0.013983463035019454,0.0652869715844895,0.8216829260867342,0.39223737862387126,0.26586490181607,0.0850962030332481,0.0,0.0,0.1759348275585504,0.08823529411764708,0.8135490365309611,0.21181401915467346,0.7099469302771823,0.06389143870078787,0.22604731719503962,0.020283022939129078,0.7441860465116279,0.3588610632580063,0.15815016871340676
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12687617411656174,0.0,0.0,0.0,0.9486754666966892,0.836516285656484,0.0,0.18172157279489903,0.0,0.013581777640362142,0.3384224501567793,0.013156206807928526,0.1692786819369098,0.061016278543974685,0.31656234954260953,0.046336676842564324,0.0,0.014629388816644991,0.46270000000000006,0.0,0.4084370356766158,0.012198097096852892,0.41969319948590084,0.7562013618677043,0.4972991101227203,0.9001828577498847,0.718907043260095,0.46851217771109854,0.17775335711017531,0.0,0.0,0.11408258089984219,0.02450980392156863,0.8207552683069171,0.33567739978717304,0.8075064223298571,0.11441430369378967,0.010325246471108065,0.09391200678016878,0.9302325581395348,0.43728699755737255,0.0438953822227455
