Feature,Importance
V6,0.24636815799913486
V4,0.14483224828645105
C2,0.0683208600282705
T1,0.05085813265662061
C1,0.03701412182701073
H9,0.03247831839053617
T10,0.028276414196387177
V1,0.026556982550979828
V2,0.02074301255745525
V3,0.017493149934757896
H3,0.01739620299938309
S9,0.01624140680614839
S3,0.014869798074744695
V7,0.014690437782083203
H4,0.014336476393078501
S7,0.013459569664928521
H1,0.013228809393766961
S4,0.012444503091222752
S5,0.012386379701557815
T8,0.012363970828263413
H5,0.012249441583666794
T9,0.011200746446412679
T11,0.01113763446464023
S6,0.011120424025294446
H12,0.010821978015812505
T5,0.010597288510238976
H11,0.010377034318048648
H6,0.010294311324453957
T2,0.00976288574698009
T3,0.009556171798251146
V5,0.009130177732884555
H7,0.008342331053756386
H2,0.0078918169462477
S10,0.007364466712319758
S1,0.0066911430941778436
T4,0.006090884528086526
S2,0.0060574096784566074
T6,0.005550796832877371
T7,0.00494192427075176
H8,0.004197769066591365
H10,0.0034746792102493566
S11,0.0031345422537364925
S8,0.002996736521902533
V8,0.002658452701380765
