Feature,Mutual Information Score
V6,0.18360337287927742
C2,0.17053641969492617
H5,0.15236132155928672
T3,0.1205496366323966
H9,0.11298158104977984
V1,0.07298574174091232
H6,0.07011960511302551
V3,0.06758714422529843
V2,0.06561210796288108
S3,0.06447065834110655
V5,0.06339211481419582
T5,0.05803238442489622
T11,0.04446883358094711
H10,0.036047382964210506
H3,0.03505253384985174
T2,0.025070748930476228
S7,0.024015910201143686
S5,0.02374133927525568
S2,0.013712270405063176
S9,0.01209463089796392
H12,0.011972388535735679
H8,0.01051741154229191
V4,0.003740138116956615
H11,0.0
S10,0.0
C1,0.0
S6,0.0
T6,0.0
T4,0.0
S4,0.0
T7,0.0
S1,0.0
T8,0.0
S8,0.0
T9,0.0
H4,0.0
S11,0.0
V8,0.0
V7,0.0
T10,0.0
H1,0.0
H7,0.0
H2,0.0
T1,0.0
