,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
T1,0.7561543287836204,-0.4086553035121687,-0.025058343668624646,0.10812538304841474,-0.09561278699819475,-0.22786676525588134,0.02958346745494348,0.04016074040395195,0.049164237781163175,-0.1042363136585249,-0.07547802489283792,0.0566331453035806,0.034252517061910404,0.007560224825818273,0.013951951755976353,-0.004850745663234577,-0.011863116953993549,-0.033244945369605566,0.1119241061549232,0.009464847283301787
T2,0.9138373519160432,-0.14397556802670028,0.11987551667652832,0.09060593128611008,-0.01170267629533463,-0.0999932433559708,0.035610173437053035,-0.04725403389202541,-0.03576145133227838,0.0010208253731212322,0.05869947711748597,0.14184051763646516,-0.019609937856184256,-0.029208220537326725,0.025166092617715,-0.0063218839779778085,0.013829414776535936,-0.057156488671264355,0.031724048141766714,0.05737042280118188
T3,0.9250373665040691,-0.09384034034012846,0.14666559469997117,0.059123742116414094,-0.04536075629635538,-0.05837200252466817,0.115211570506148,0.03611998115647039,-0.04235699294663286,-0.0014820953347020529,-0.0763194870870349,-0.009293297762982575,0.03650874190546949,-0.015119239151953507,0.02118416474698188,0.05510176542639759,-0.027326740390805904,-0.05123757976962318,0.044442295925056274,0.012991148848587934
T6,0.9621517076319281,0.03590666572027139,0.008160190373873184,-0.006712929666834021,0.08548820416209099,-0.0638873006098574,0.015606458142399844,-0.037561693279609364,0.012673415018419992,0.04267935989922858,-0.015902302023236448,0.015511075431623634,-0.050415051328543604,0.052126886055066074,0.10100501736264349,0.010622590118368408,0.06916027409563678,-0.04375594419791078,0.008055520901619059,-0.08002518185985488
T4,0.9655052730211925,0.03446986544265828,0.0076526632777536305,-0.0024513095460035163,0.08503413450893209,-0.05887177912752804,0.010177955389414262,-0.045783960097153346,0.014473554560611772,0.0276291478111319,-0.0189687873870364,0.01554912937116398,-0.047886894726950624,0.046897805801153165,0.09143140775698312,0.009807567906225258,0.06995552971753728,-0.044393962959722665,0.007333296077677656,-0.0770123124213685
T7,0.9619113691465915,0.03701157675918116,0.006256795864939015,-0.007172099510474295,0.08610686777474207,-0.06274387484763812,0.014618360235640025,-0.03751805527567873,0.012894445952835818,0.042569234575725666,-0.016173703061501458,0.01530634102363712,-0.050640749043425005,0.05232461919696879,0.10086879632485865,0.010039642048995732,0.06945633274091279,-0.04444363899245279,0.007638292467042305,-0.08034150558490186
T8,0.8351355988271527,0.1694145068561505,0.1332690271257331,0.07228886250622879,0.03136724565506319,0.12916909537880505,-0.09797832659396649,0.13117601325859096,-0.15892003158965828,0.05949559940362629,0.08234372610950842,0.010505641561681536,0.04244341881781873,0.09555998048610942,-0.14426169980326647,-0.09200575609818022,-0.10843282546329107,0.1674365551184559,-0.03167918776180064,-0.03601175911195797
T9,-0.1792195976534836,0.646089621942231,0.030571626993976024,-0.306765049406331,-0.01718611950639676,0.3132207492387359,0.0678920327502654,0.1312866894662866,0.13279980929381308,-0.008962259912965143,0.09106126108989389,0.08094352733120287,-0.09598000563560424,-0.030044237224048594,-0.07634393806551713,-0.046483480047565535,-0.1420989162767612,-0.24008855707463134,0.01756560926817256,-0.2717693646460454
T10,0.5817283992407253,0.17387226083490623,-0.018580068852728993,0.0799271750314904,0.024772950816825873,0.24984638542337248,-0.22576840463144235,0.20952747763079033,-0.25563909165681564,0.08592372378083303,0.08262383412771436,0.046918069577344616,0.09495483396960372,0.23253044615268317,-0.25257219203730585,-0.1288218741288067,-0.23423307089746231,0.31088911465643027,-0.0754024760459897,-0.04052270513275505
T11,0.06784956635786266,0.8357710190993838,0.18560696948456654,0.15955966282708448,-0.06133643310053392,0.10161482137765578,-0.14927108490170668,0.09674178892820733,0.02500736557079142,-0.10523169873418262,0.03550251959874595,0.0745721173988576,0.24222739931593623,-0.12059279671184511,0.04898344023219988,-0.03757957792325665,0.08665275356742225,-0.011456329921492247,0.10201258887763366,-0.015123789370477314
