Feature,Mutual Information Score
V6,0.22193021341545371
C2,0.16371731048636473
V4,0.15313324472721934
V2,0.11944449962968129
V1,0.09465814308133869
H6,0.07005847674188193
V7,0.06820767875439859
C1,0.06803321721740829
T10,0.06333826976600321
H11,0.05749747317988074
S1,0.041711325433223756
H3,0.03603516482723457
T4,0.029310511702843378
V5,0.026262621491434324
S11,0.019636549364466127
T9,0.01703711613450043
S2,0.01618922920718724
T1,0.015284404361775472
V3,0.01351666292708753
T7,0.012496624403037337
T3,0.011436347017470538
H9,0.010319294902004117
H2,0.010127888103252047
S9,0.008353240975800702
H10,0.007803467371499728
S7,0.0074545836211630245
T8,0.007240522993956056
H4,0.005997612287362841
T6,0.0045278661910117535
S8,0.004270455608212487
H12,0.002130913893092945
S6,0.0006055663747499551
S5,0.0004355841397121196
T5,0.00031820057768339183
S10,0.0002068476567353983
T2,0.0
H1,0.0
T11,0.0
H5,0.0
H7,0.0
H8,0.0
V8,0.0
S4,0.0
S3,0.0
